,period,respondent,respondent_name,value_units,day_ahead_demand_forecast,demand,net_generation,total_interchange
0,2024-05-15T00,PJM,"PJM Interconnection, LLC",megawatthours,89183,88333,88033,-300
1,2024-05-15T01,PJM,"PJM Interconnection, LLC",megawatthours,86406,88355,88756,402
2,2024-05-15T02,PJM,"PJM Interconnection, LLC",megawatthours,80983,86444,86974,530
3,2024-05-15T03,PJM,"PJM Interconnection, LLC",megawatthours,75584,81662,82361,699
4,2024-05-15T04,PJM,"PJM Interconnection, LLC",megawatthours,71223,77652,78242,590
5,2024-05-15T05,PJM,"PJM Interconnection, LLC",megawatthours,68573,75535,76776,1241
6,2024-05-15T06,PJM,"PJM Interconnection, LLC",megawatthours,66978,73328,73975,646
7,2024-05-15T07,PJM,"PJM Interconnection, LLC",megawatthours,66227,71763,72819,1055
8,2024-05-15T08,PJM,"PJM Interconnection, LLC",megawatthours,66992,71031,72271,1240
9,2024-05-15T09,PJM,"PJM Interconnection, LLC",megawatthours,70128,71887,73188,1301
10,2024-05-15T10,PJM,"PJM Interconnection, LLC",megawatthours,75724,74554,74858,304
11,2024-05-15T11,PJM,"PJM Interconnection, LLC",megawatthours,79874,78040,78187,147
12,2024-05-15T12,PJM,"PJM Interconnection, LLC",megawatthours,81913,81770,81486,-284
13,2024-05-15T13,PJM,"PJM Interconnection, LLC",megawatthours,83091,84043,83610,-433
14,2024-05-15T14,PJM,"PJM Interconnection, LLC",megawatthours,84152,85245,85389,145
15,2024-05-15T15,PJM,"PJM Interconnection, LLC",megawatthours,84657,86108,85748,-360
16,2024-05-15T16,PJM,"PJM Interconnection, LLC",megawatthours,85348,86369,85603,-766
17,2024-05-15T17,PJM,"PJM Interconnection, LLC",megawatthours,86039,86479,85404,-1075
18,2024-05-15T18,PJM,"PJM Interconnection, LLC",megawatthours,86399,86956,85870,-1086
19,2024-05-15T19,PJM,"PJM Interconnection, LLC",megawatthours,86713,87554,86437,-1117
20,2024-05-15T20,PJM,"PJM Interconnection, LLC",megawatthours,87555,88126,86747,-1379
21,2024-05-15T21,PJM,"PJM Interconnection, LLC",megawatthours,88316,88875,86715,-2160
22,2024-05-15T22,PJM,"PJM Interconnection, LLC",megawatthours,88284,89368,87449,-1919
23,2024-05-15T23,PJM,"PJM Interconnection, LLC",megawatthours,87833,89104,87405,-1699
24,2024-05-16T00,PJM,"PJM Interconnection, LLC",megawatthours,87343,88670,87387,-1282
25,2024-05-16T01,PJM,"PJM Interconnection, LLC",megawatthours,85116,88642,87349,-1293
26,2024-05-16T02,PJM,"PJM Interconnection, LLC",megawatthours,80077,86991,85783,-1208
27,2024-05-16T03,PJM,"PJM Interconnection, LLC",megawatthours,74934,82009,80536,-1473
28,2024-05-16T04,PJM,"PJM Interconnection, LLC",megawatthours,70549,77727,77681,-46
29,2024-05-16T05,PJM,"PJM Interconnection, LLC",megawatthours,68118,75445,75190,-255
30,2024-05-16T06,PJM,"PJM Interconnection, LLC",megawatthours,66525,73237,74078,841
31,2024-05-16T07,PJM,"PJM Interconnection, LLC",megawatthours,65794,71740,73137,1397
32,2024-05-16T08,PJM,"PJM Interconnection, LLC",megawatthours,66645,70781,71839,1057
33,2024-05-16T09,PJM,"PJM Interconnection, LLC",megawatthours,69808,71526,72964,1438
34,2024-05-16T10,PJM,"PJM Interconnection, LLC",megawatthours,75118,73841,74149,308
35,2024-05-16T11,PJM,"PJM Interconnection, LLC",megawatthours,79162,77058,77430,372
36,2024-05-16T12,PJM,"PJM Interconnection, LLC",megawatthours,81091,80307,80148,-159
37,2024-05-16T13,PJM,"PJM Interconnection, LLC",megawatthours,82066,82317,82159,-157
38,2024-05-16T14,PJM,"PJM Interconnection, LLC",megawatthours,83034,83802,84198,397
39,2024-05-16T15,PJM,"PJM Interconnection, LLC",megawatthours,84024,85611,85588,-24
40,2024-05-16T16,PJM,"PJM Interconnection, LLC",megawatthours,85081,87241,87067,-176
41,2024-05-16T17,PJM,"PJM Interconnection, LLC",megawatthours,86516,89197,89234,37
42,2024-05-16T18,PJM,"PJM Interconnection, LLC",megawatthours,87592,91373,90962,-411
43,2024-05-16T19,PJM,"PJM Interconnection, LLC",megawatthours,88845,92645,92213,-433
44,2024-05-16T20,PJM,"PJM Interconnection, LLC",megawatthours,90244,92828,92573,-255
45,2024-05-16T21,PJM,"PJM Interconnection, LLC",megawatthours,91488,94341,93564,-777
46,2024-05-16T22,PJM,"PJM Interconnection, LLC",megawatthours,91808,95369,94455,-915
47,2024-05-16T23,PJM,"PJM Interconnection, LLC",megawatthours,90969,95092,93986,-1107
48,2024-05-17T00,PJM,"PJM Interconnection, LLC",megawatthours,90262,94044,92784,-1259
49,2024-05-17T01,PJM,"PJM Interconnection, LLC",megawatthours,87736,93456,92290,-1166
50,2024-05-17T02,PJM,"PJM Interconnection, LLC",megawatthours,82329,91486,90224,-1263
